origin_zone,dest_zone,road_type,speed_limit_kmh,num_lanes,is_one_way,distance_km,road_curvature,has_signal,is_construction,weather_condition,day_of_week,time_slot,is_weekend,is_holiday,day_type,congestion_multiplier
12,3,main_road,71.0,2,0,17.19,1.558,1,0,clear,Fri,morning_peak,0,0,friday,2.7768
13,4,main_road,70.3,2,0,19.42,1.714,0,0,clear,Sat,evening_peak,1,1,weekend,1.9561
2,3,main_road,57.5,3,0,14.04,1.25,0,0,clear,Sun,night,1,0,weekend,0.703
4,19,street,23.4,2,0,9.47,1.452,0,0,rain,Fri,midday,0,0,friday,2.4241
9,1,street,43.5,1,0,8.19,1.651,1,1,cloudy,Sat,midday,1,0,weekend,2.7138
1,16,service_lane,38.2,1,0,19.39,1.623,0,0,cloudy,Thu,midday,0,0,weekday,2.8459
6,12,street,37.5,2,0,1.78,1.333,1,0,clear,Fri,evening_peak,0,0,friday,3.5
9,12,street,34.6,1,0,18.76,1.457,1,0,rain,Sat,morning_peak,1,0,weekend,3.5
8,3,street,23.2,1,0,4.68,1.03,1,0,clear,Sat,night,1,0,weekend,0.9976
4,21,main_road,69.9,3,0,17.88,1.415,1,0,cloudy,Wed,evening_peak,0,0,weekday,3.5
21,6,street,29.3,2,0,19.44,1.401,1,1,clear,Wed,midday,0,0,weekday,3.1597
11,14,highway,92.0,6,0,19.12,1.229,0,1,cloudy,Fri,evening_peak,0,0,friday,2.66
19,14,street,44.9,1,0,4.73,1.425,0,0,cloudy,Sat,night,1,0,weekend,0.9039
23,20,main_road,45.8,4,0,6.28,1.115,0,0,cloudy,Thu,night,0,0,weekday,0.8394
13,4,street,45.5,2,1,3.71,1.189,1,0,fog,Sun,night,1,0,weekend,1.0437
9,4,main_road,65.7,4,0,2.78,1.429,1,0,clear,Thu,night,0,0,weekday,0.98
9,22,street,48.5,2,0,9.67,1.263,1,0,clear,Tue,morning_peak,0,0,weekday,3.5
17,4,main_road,43.4,3,0,2.83,1.767,0,0,cloudy,Thu,morning_peak,0,0,weekday,2.4869
14,5,service_lane,29.8,2,0,2.48,1.094,1,0,clear,Thu,morning_peak,0,0,weekday,2.5137
10,6,main_road,55.3,2,0,11.1,1.749,0,0,clear,Thu,evening_peak,0,0,weekday,3.5
9,14,street,33.8,1,0,6.11,1.735,1,0,clear,Wed,midday,0,0,weekday,2.8137
